file,Essay Type,Country,Level,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,total lines
W_TWN_SMK0_161_B1_1.txt.json,Smoking,TWN,B1_1,25,0.71,0,0.0,4,0.11,4,0.11,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35
W_TWN_SMK0_061_B1_1.txt.json,Smoking,TWN,B1_1,10,0.32,2,0.06,5,0.16,0,0.0,1,0.03,0,0.0,0,0.0,3,0.1,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,8,0.26,0,0.0,0,0.0,31
W_TWN_SMK0_111_B1_1.txt.json,Smoking,TWN,B1_1,19,0.5,4,0.11,4,0.11,6,0.16,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,38
W_TWN_SMK0_186_B1_1.txt.json,Smoking,TWN,B1_1,24,0.53,4,0.09,4,0.09,6,0.13,2,0.04,1,0.02,0,0.0,1,0.02,0,0.0,0,0.0,2,0.04,0,0.0,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,45
W_TWN_PTJ0_140_B1_1.txt.json,Jobs,TWN,B1_1,11,0.33,2,0.06,2,0.06,8,0.24,1,0.03,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,1,0.03,4,0.12,0,0.0,0,0.0,33
W_TWN_PTJ0_064_B1_1.txt.json,Jobs,TWN,B1_1,13,0.43,0,0.0,3,0.1,5,0.17,2,0.07,1,0.03,0,0.0,0,0.0,0,0.0,1,0.03,1,0.03,0,0.0,2,0.07,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,30
W_TWN_SMK0_035_B1_1.txt.json,Smoking,TWN,B1_1,15,0.56,2,0.07,2,0.07,0,0.0,2,0.07,0,0.0,0,0.0,1,0.04,0,0.0,1,0.04,3,0.11,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,27
W_TWN_PTJ0_175_B1_1.txt.json,Jobs,TWN,B1_1,27,0.6,0,0.0,4,0.09,6,0.13,1,0.02,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,4,0.09,0,0.0,1,0.02,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,45
W_TWN_PTJ0_189_B1_1.txt.json,Jobs,TWN,B1_1,13,0.35,0,0.0,6,0.16,12,0.32,0,0.0,1,0.03,0,0.0,4,0.11,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37
W_TWN_SMK0_018_B1_1.txt.json,Smoking,TWN,B1_1,19,0.63,4,0.13,2,0.07,0,0.0,0,0.0,2,0.07,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,30
W_TWN_SMK0_132_B1_1.txt.json,Smoking,TWN,B1_1,17,0.53,0,0.0,3,0.09,4,0.12,2,0.06,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,2,0.06,0,0.0,1,0.03,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,32
W_TWN_PTJ0_195_B1_1.txt.json,Jobs,TWN,B1_1,13,0.57,0,0.0,2,0.09,0,0.0,2,0.09,0,0.0,0,0.0,2,0.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.17,0,0.0,0,0.0,23
W_TWN_PTJ0_008_B1_1.txt.json,Jobs,TWN,B1_1,21,0.68,2,0.06,0,0.0,2,0.06,2,0.06,0,0.0,0,0.0,3,0.1,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31
W_TWN_PTJ0_079_B1_1.txt.json,Jobs,TWN,B1_1,13,0.45,0,0.0,2,0.07,4,0.14,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,5,0.17,0,0.0,0,0.0,0,0.0,1,0.03,3,0.1,0,0.0,0,0.0,29
W_TWN_SMK0_188_B1_1.txt.json,Smoking,TWN,B1_1,15,0.33,4,0.09,4,0.09,18,0.39,2,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02,0,0.0,1,0.02,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,46
W_TWN_SMK0_200_B1_1.txt.json,Smoking,TWN,B1_1,16,0.73,2,0.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,1,0.05,0,0.0,1,0.05,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,22
W_TWN_PTJ0_177_B1_1.txt.json,Jobs,TWN,B1_1,12,0.48,0,0.0,6,0.24,0,0.0,2,0.08,1,0.04,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,2,0.08,0,0.0,0,0.0,25
W_TWN_PTJ0_038_B1_1.txt.json,Jobs,TWN,B1_1,18,0.55,0,0.0,1,0.03,2,0.06,2,0.06,3,0.09,0,0.0,1,0.03,0,0.0,0,0.0,3,0.09,0,0.0,0,0.0,0,0.0,0,0.0,3,0.09,0,0.0,0,0.0,33
W_TWN_SMK0_113_B1_1.txt.json,Smoking,TWN,B1_1,12,0.55,0,0.0,1,0.05,4,0.18,1,0.05,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,2,0.09,0,0.0,0,0.0,22
W_TWN_SMK0_197_B1_1.txt.json,Smoking,TWN,B1_1,5,0.29,0,0.0,3,0.18,0,0.0,0,0.0,0,0.0,0,0.0,3,0.18,0,0.0,0,0.0,1,0.06,0,0.0,2,0.12,0,0.0,0,0.0,3,0.18,0,0.0,0,0.0,17
W_TWN_SMK0_155_B1_1.txt.json,Smoking,TWN,B1_1,25,0.47,8,0.15,6,0.11,4,0.08,2,0.04,2,0.04,0,0.0,4,0.08,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,0,0.0,53
W_TWN_PTJ0_117_B1_1.txt.json,Jobs,TWN,B1_1,15,0.68,0,0.0,0,0.0,4,0.18,0,0.0,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,22
W_TWN_PTJ0_061_B1_1.txt.json,Jobs,TWN,B1_1,17,0.4,6,0.14,3,0.07,10,0.24,0,0.0,0,0.0,0,0.0,4,0.1,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42
W_TWN_SMK0_144_B1_1.txt.json,Smoking,TWN,B1_1,19,0.5,4,0.11,7,0.18,0,0.0,2,0.05,1,0.03,0,0.0,3,0.08,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,38
W_TWN_SMK0_175_B1_1.txt.json,Smoking,TWN,B1_1,24,0.6,2,0.05,7,0.17,2,0.05,1,0.03,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,40
W_TWN_PTJ0_116_B1_1.txt.json,Jobs,TWN,B1_1,19,0.56,0,0.0,5,0.15,0,0.0,1,0.03,3,0.09,0,0.0,2,0.06,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,1,0.03,2,0.06,0,0.0,0,0.0,34
W_TWN_PTJ0_135_B1_1.txt.json,Jobs,TWN,B1_1,16,0.36,2,0.05,3,0.07,10,0.23,2,0.05,2,0.05,0,0.0,3,0.07,0,0.0,2,0.05,3,0.07,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,44
W_TWN_PTJ0_071_B1_1.txt.json,Jobs,TWN,B1_1,20,0.43,2,0.04,7,0.15,10,0.22,1,0.02,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,3,0.07,0,0.0,0,0.0,0,0.0,0,0.0,2,0.04,0,0.0,0,0.0,46
W_TWN_PTJ0_111_B1_1.txt.json,Jobs,TWN,B1_1,13,0.35,0,0.0,2,0.05,12,0.32,1,0.03,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,3,0.08,0,0.0,0,0.0,0,0.0,0,0.0,4,0.11,0,0.0,0,0.0,37
W_TWN_SMK0_196_B1_1.txt.json,Smoking,TWN,B1_1,16,0.52,6,0.19,3,0.1,0,0.0,1,0.03,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31
W_TWN_PTJ0_062_B1_1.txt.json,Jobs,TWN,B1_1,19,0.53,2,0.06,4,0.11,2,0.06,0,0.0,1,0.03,0,0.0,2,0.06,0,0.0,0,0.0,4,0.11,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,36
W_TWN_PTJ0_058_B1_1.txt.json,Jobs,TWN,B1_1,21,0.64,0,0.0,5,0.15,0,0.0,1,0.03,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,33
W_TWN_PTJ0_030_B1_1.txt.json,Jobs,TWN,B1_1,12,0.3,2,0.05,4,0.1,14,0.35,1,0.03,0,0.0,0,0.0,2,0.05,0,0.0,1,0.03,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,40
W_TWN_SMK0_114_B1_1.txt.json,Smoking,TWN,B1_1,17,0.49,0,0.0,7,0.2,2,0.06,1,0.03,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,4,0.11,0,0.0,0,0.0,0,0.0,0,0.0,3,0.09,0,0.0,0,0.0,35
W_TWN_PTJ0_036_B1_1.txt.json,Jobs,TWN,B1_1,16,0.43,2,0.05,1,0.03,6,0.16,0,0.0,2,0.05,0,0.0,7,0.19,0,0.0,0,0.0,1,0.03,0,0.0,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37
W_TWN_SMK0_163_B1_1.txt.json,Smoking,TWN,B1_1,16,0.48,2,0.06,4,0.12,2,0.06,1,0.03,0,0.0,0,0.0,4,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.12,0,0.0,0,0.0,33
W_TWN_SMK0_027_B1_1.txt.json,Smoking,TWN,B1_1,18,0.56,0,0.0,4,0.12,2,0.06,2,0.06,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,3,0.09,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,32
W_TWN_PTJ0_155_B1_1.txt.json,Jobs,TWN,B1_1,24,0.5,4,0.08,3,0.06,10,0.21,4,0.08,2,0.04,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48
W_TWN_PTJ0_104_B1_1.txt.json,Jobs,TWN,B1_1,21,0.58,0,0.0,5,0.14,6,0.17,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,36
W_TWN_PTJ0_002_B1_1.txt.json,Jobs,TWN,B1_1,12,0.41,2,0.07,2,0.07,6,0.21,1,0.03,3,0.1,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,29
W_TWN_SMK0_008_B1_1.txt.json,Smoking,TWN,B1_1,19,0.54,4,0.11,2,0.06,4,0.11,1,0.03,3,0.09,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35
W_TWN_PTJ0_102_B1_1.txt.json,Jobs,TWN,B1_1,15,0.37,2,0.05,5,0.12,6,0.15,2,0.05,0,0.0,1,0.02,1,0.02,0,0.0,1,0.02,1,0.02,0,0.0,1,0.02,0,0.0,1,0.02,5,0.12,0,0.0,0,0.0,41
W_TWN_SMK0_050_B1_1.txt.json,Smoking,TWN,B1_1,14,0.45,0,0.0,5,0.16,0,0.0,1,0.03,0,0.0,0,0.0,3,0.1,0,0.0,0,0.0,3,0.1,0,0.0,1,0.03,0,0.0,1,0.03,3,0.1,0,0.0,0,0.0,31
W_TWN_PTJ0_157_B1_1.txt.json,Jobs,TWN,B1_1,28,0.54,4,0.08,3,0.06,10,0.19,2,0.04,2,0.04,0,0.0,2,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,52
W_TWN_PTJ0_128_B1_1.txt.json,Jobs,TWN,B1_1,10,0.37,4,0.15,3,0.11,4,0.15,0,0.0,1,0.04,0,0.0,1,0.04,0,0.0,1,0.04,1,0.04,0,0.0,1,0.04,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,27
W_TWN_SMK0_125_B1_1.txt.json,Smoking,TWN,B1_1,15,0.54,0,0.0,4,0.14,4,0.14,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,28
W_TWN_SMK0_112_B1_1.txt.json,Smoking,TWN,B1_1,18,0.47,4,0.11,1,0.03,6,0.16,2,0.05,0,0.0,0,0.0,4,0.11,0,0.0,0,0.0,3,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38
W_TWN_SMK0_181_B1_1.txt.json,Smoking,TWN,B1_1,17,0.65,0,0.0,2,0.08,0,0.0,1,0.04,0,0.0,0,0.0,4,0.15,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,26
W_TWN_SMK0_059_B1_1.txt.json,Smoking,TWN,B1_1,21,0.72,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,29
W_TWN_PTJ0_054_B1_1.txt.json,Jobs,TWN,B1_1,12,0.44,2,0.07,3,0.11,4,0.15,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,27
W_TWN_SMK0_176_B1_1.txt.json,Smoking,TWN,B1_1,17,0.61,2,0.07,3,0.11,2,0.07,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,28
W_TWN_SMK0_004_B1_1.txt.json,Smoking,TWN,B1_1,18,0.53,2,0.06,3,0.09,6,0.18,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,3,0.09,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34
W_TWN_SMK0_038_B1_1.txt.json,Smoking,TWN,B1_1,21,0.57,2,0.05,2,0.05,4,0.11,3,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,4,0.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37
W_TWN_PTJ0_090_B1_1.txt.json,Jobs,TWN,B1_1,19,0.56,0,0.0,2,0.06,8,0.24,1,0.03,3,0.09,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34
W_TWN_SMK0_117_B1_1.txt.json,Smoking,TWN,B1_1,15,0.54,0,0.0,4,0.14,2,0.07,2,0.07,1,0.04,0,0.0,1,0.04,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,28
W_TWN_SMK0_009_B1_1.txt.json,Smoking,TWN,B1_1,20,0.51,4,0.1,5,0.13,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,2,0.05,0,0.0,3,0.08,0,0.0,0,0.0,4,0.1,0,0.0,0,0.0,39
